Incilius.spiculatus,Incilius.valliceps,Hyalinobatrachium.fleischmanni,Craugastor mexicanus,Craugastor.polymniae,Craugastor.pygmaeus,Craugastor.berkenbuschii,Craugastor.loki ,Charadrahyla.nephila,Duellmanohyla.ignicolor,Exerodonta abdivita*,Ptychohyla.zophodes,Quilticohyla.acrochorda,Sarcohyla.celata,Smilisca.cyanosticta,Smilisca.baudini,Triprion.spinosus,Bolitoglossa.chinanteca,Pseudoeurycea.orchileucos,Anolis.rubiginosus,Sceloporus.variabilis,Scincella cherriei*,Lepidophyma.tuxtlae,Lampropeltis.polyzona,Stenorrhina.degenhardtii,Adelphicos.visoninum,Cryophis.hallbergi,Geophis.laticinctus ,Imantodes.cenchoa,Leptodeira.polysticta,Ninia.diademata,Ninia.sebae,Rhadinaea.bogertorum,Rhadinaea.decorata,Rhadinella schistosa,Tropidodipsas.sartorii,Micrurus.elegans,Micrurus.diastema,Atropoides.nummifer,Bothrops.asper
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,2,0,0,2,0,6,0,8,0,0,0,0,1,2,0,2,3,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
11,0,2,3,0,0,0,0,58,15,0,15,0,0,0,0,3,3,0,2,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
5,0,0,3,0,0,1,0,19,8,0,5,0,0,0,0,2,0,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,1,0,1,1,1,1
2,0,0,1,1,1,0,0,3,2,0,5,0,0,0,0,2,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,0,1,0,1,1,3,4,7,4,0,0,0,0,2,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,2,4,0,0,0,0,0,0,2,0,2,0,5,1,0,1,0,0,4,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,2,6,1,20,0,0,0,0,2,3,0,6,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
